symbol
ACB
F
GE
MSFT
GPRO
AAPL
PLUG
DIS
AMD
SNAP
CRON
CGC
TSLA
CHK
UBER
BAC
AMZN
T
INO
SBUX
GRPN
S
NVDA
NFLX
SPCE
KO
SQ
BYND
SIRI
V
CPRX
LYFT
NKE
FCEL
CRBP
MRNA
INTC
OGI
TLRY
BA
MU
CSCO
VKTX
ROKU
PYPL
GM
PENN
CRM
PFE
WMT
PCG
GOOGL
VZ
ENPH
PINS
SHOP
COST
DAL
PTON
DBX
XOM
SDC
TWLO
ABBV
CRSP
ZM
TGT
SPWR
OKTA
KR
MRVL
FNKO
AUPH
BCRX
BLDP
SPLK
BTE
ADT
DLTR
BKCC
AEO
WTI
VET
GO
BJ
FIZZ
PGNY
ANF
HRB
CPB
OMI
CIEN
ARDX
STOK
CYRX
RCUS
TAC
IGMS
RCKT
AXNX
NEWT
CPG
AGS
ATEC
GVA
LOCO
ERII
CVGW
TPVG
KTB
CALA
NLTX
CMTL
PLAB
MGIC
BURL
FULC
REVG
SIGA
ABM
SGRY
GSHD
GWRE
WOW
MIRM
SWTX
CHUY
RYI
KIDS
GMS
VRCA
PACK
PNTG
TRC
TTC
DSGX
MLR
NX
WLDN
CCRN
ASTE
COO
MEI
DXPE
ITRN
DCI
DESP
TTEC
UFPT
MYRG
HCI
LXFR
GPRK
MEGEF
FRHLF
FRPH
VIR
NET
DDOG
SDGR
EQX
SPT
BILL
TXG
REYN
BEAM
XP
CRNC
FREQ
OPRT
BRBR
PHAT
GRTX
APRE
NVST
CABA
RLMD
SITM
RVMD
BDTX
BRP
HBT
MCBS
ARQT
FRHC
PASG
ALRS
IR
TFII
IGC
IBIO
OGEN
XXII
GERN
TTNP
BIOC
NVAX
NEPT
CARA
GILD
QCOM
GOOG
ONTX
MA
INSG
MMM
CODX
SPOT
VSTM
IMGN
AMAT
VXRT
AGRX
RUN
TXMD
CPHI
ADBE
IBM
BB
APT
SENS
TDOC
OCGN
ADXS
SCYX
APPN
TTD
PTN
DOCU
ATNM
IRBT
APPS
EDIT
LMT
TNXP
KTOS
SEDG
FSLR
MRK
HPQ
EKSO
ODP
SGMO
GLW
RIGL
TEAM
KODK
VBIV
NTNX
CAT
ZOM
BMY
MTNB
AMRX
MVIS
AYX
TRVN
CRWD
NDAQ
BSX
ONVO
AIM
FSLY
ZS
ABT
MDB
GEVO
WATT
YEXT
ACRX
SWKS
BOX
ACST
DSS
HEAR
NBR
OVID
ALB
ORCL
NTLA
WDAY
DTIL
FTCH
GNPX
COCP
TXN
CVNA
DDD
CBAY
SLB
ANET
ZUO
MRNS
TGTX
OTLK
HON
EVRI
NKTR
NNVC
UPWK
TNDM
EXEL
ILMN
VMW
WDC
MDT
LXRX
LOGI
AMPE
EXAS
SELB
DRRX
